Subject, ITD, FMleft, FMright, 500Hzleft, 500Hzright, 4000Hzleft, 4000Hzright, block, prctMstkITD, prctMstkFMleft, prctMstkFMright, mag20us, mag60us, mag180us, mag540us, magAvg, magAvgExcld20us, n1lat20us, n1lat60us, n1lat180us, n1lat540us, n1latAvg, n1latAvgExcld20, p2lat20us, p2lat60us, p2lat180us, p2lat540us, p2latAvg, p2latAvgExcld20, itc20, itc60, itc180, itc540, itcAvg, itcAvgExd20, itclat20, itclat60, itclat180, itclat540, itclatAvg, itclatAvgExd20, itc20left, itc60left, itc180left, itc540left, itcAvgleft, itcAvgExd20left, itclat20left, itclat60left, itclat180left, itclat540left, itclatAvgleft, itclatAvgExd20left, itc20right, itc60right, itc180right, itc540right, itcAvgright, itcAvgExd20right, itclat20right, itclat60right, itclat180right, itclat540right, itclatAvgright, itclatAvgExd20right
S031, 32.019458, 12.027375, 10.716706, -3.600000, 1.275000, 2.525000, 3.400000, 2.000000, 0.002500, 0.000000, 0.000000, NaN, 0.947000, 1.022000, 1.116000, 0.773000, 0.912000, NaN, 0.175000, 0.127700, 0.126700, 0.127900, 0.127700, NaN, 0.237800, 0.213100, 0.210700, 0.213100, 0.212900, NaN, 1.013000, 0.637800, 0.899600, 0.432600, 0.681800, NaN, 0.159700, 0.169700, 0.136500, 0.146500, 0.147500, NaN, 0.817600, 0.565900, 0.967000, 0.420300, 0.593500, NaN, NaN, 0.106700, 0.125500, 0.117700, 0.141400, NaN, 1.621400, 0.611900, 0.870600, 0.474200, 0.805600, NaN, 0.159900, 0.144500, 2.100000e-01, 0.154300, 0.155800, 
S031, 34.932684, 12.027375, 10.716706, -3.600000, 1.275000, 2.525000, 3.400000, 3.000000, 0.002500, 0.000000, 0.000000, NaN, 0.947000, 1.022000, 1.116000, 0.773000, 0.912000, NaN, 0.175000, 0.127700, 0.126700, 0.127900, 0.127700, NaN, 0.237800, 0.213100, 0.210700, 0.213100, 0.212900, NaN, 1.013000, 0.637800, 0.899600, 0.432600, 0.681800, NaN, 0.159700, 0.169700, 0.136500, 0.146500, 0.147500, NaN, 0.817600, 0.565900, 0.967000, 0.420300, 0.593500, NaN, NaN, 0.106700, 0.125500, 0.117700, 0.141400, NaN, 1.621400, 0.611900, 0.870600, 0.474200, 0.805600, NaN, 0.159900, 0.144500, 2.100000e-01, 0.154300, 0.155800, 
S031, 32.506249, 12.027375, 10.716706, -3.600000, 1.275000, 2.525000, 3.400000, 4.000000, 0.002500, 0.000000, 0.000000, NaN, 0.947000, 1.022000, 1.116000, 0.773000, 0.912000, NaN, 0.175000, 0.127700, 0.126700, 0.127900, 0.127700, NaN, 0.237800, 0.213100, 0.210700, 0.213100, 0.212900, NaN, 1.013000, 0.637800, 0.899600, 0.432600, 0.681800, NaN, 0.159700, 0.169700, 0.136500, 0.146500, 0.147500, NaN, 0.817600, 0.565900, 0.967000, 0.420300, 0.593500, NaN, NaN, 0.106700, 0.125500, 0.117700, 0.141400, NaN, 1.621400, 0.611900, 0.870600, 0.474200, 0.805600, NaN, 0.159900, 0.144500, 2.100000e-01, 0.154300, 0.155800, 
S031, 35.417040, 12.027375, 10.716706, -3.600000, 1.275000, 2.525000, 3.400000, 5.000000, 0.002500, 0.000000, 0.000000, NaN, 0.947000, 1.022000, 1.116000, 0.773000, 0.912000, NaN, 0.175000, 0.127700, 0.126700, 0.127900, 0.127700, NaN, 0.237800, 0.213100, 0.210700, 0.213100, 0.212900, NaN, 1.013000, 0.637800, 0.899600, 0.432600, 0.681800, NaN, 0.159700, 0.169700, 0.136500, 0.146500, 0.147500, NaN, 0.817600, 0.565900, 0.967000, 0.420300, 0.593500, NaN, NaN, 0.106700, 0.125500, 0.117700, 0.141400, NaN, 1.621400, 0.611900, 0.870600, 0.474200, 0.805600, NaN, 0.159900, 0.144500, 2.100000e-01, 0.154300, 0.155800, 
S031, 29.366947, 12.027375, 10.716706, -3.600000, 1.275000, 2.525000, 3.400000, 6.000000, 0.002500, 0.000000, 0.000000, NaN, 0.947000, 1.022000, 1.116000, 0.773000, 0.912000, NaN, 0.175000, 0.127700, 0.126700, 0.127900, 0.127700, NaN, 0.237800, 0.213100, 0.210700, 0.213100, 0.212900, NaN, 1.013000, 0.637800, 0.899600, 0.432600, 0.681800, NaN, 0.159700, 0.169700, 0.136500, 0.146500, 0.147500, NaN, 0.817600, 0.565900, 0.967000, 0.420300, 0.593500, NaN, NaN, 0.106700, 0.125500, 0.117700, 0.141400, NaN, 1.621400, 0.611900, 0.870600, 0.474200, 0.805600, NaN, 0.159900, 0.144500, 2.100000e-01, 0.154300, 0.155800, 
S031, 32.986697, 12.027375, 10.716706, -3.600000, 1.275000, 2.525000, 3.400000, 7.000000, 0.002500, 0.000000, 0.000000, NaN, 0.947000, 1.022000, 1.116000, 0.773000, 0.912000, NaN, 0.175000, 0.127700, 0.126700, 0.127900, 0.127700, NaN, 0.237800, 0.213100, 0.210700, 0.213100, 0.212900, NaN, 1.013000, 0.637800, 0.899600, 0.432600, 0.681800, NaN, 0.159700, 0.169700, 0.136500, 0.146500, 0.147500, NaN, 0.817600, 0.565900, 0.967000, 0.420300, 0.593500, NaN, NaN, 0.106700, 0.125500, 0.117700, 0.141400, NaN, 1.621400, 0.611900, 0.870600, 0.474200, 0.805600, NaN, 0.159900, 0.144500, 2.100000e-01, 0.154300, 0.155800, 
S031, 30.578334, 12.027375, 10.716706, -3.600000, 1.275000, 2.525000, 3.400000, 8.000000, 0.002500, 0.000000, 0.000000, NaN, 0.947000, 1.022000, 1.116000, 0.773000, 0.912000, NaN, 0.175000, 0.127700, 0.126700, 0.127900, 0.127700, NaN, 0.237800, 0.213100, 0.210700, 0.213100, 0.212900, NaN, 1.013000, 0.637800, 0.899600, 0.432600, 0.681800, NaN, 0.159700, 0.169700, 0.136500, 0.146500, 0.147500, NaN, 0.817600, 0.565900, 0.967000, 0.420300, 0.593500, NaN, NaN, 0.106700, 0.125500, 0.117700, 0.141400, NaN, 1.621400, 0.611900, 0.870600, 0.474200, 0.805600, NaN, 0.159900, 0.144500, 2.100000e-01, 0.154300, 0.155800, 

S046, 25.008400, 13.757198, 14.715647, 6.775000, -2.225000, 7.150000, 7.400000, 1.000000, 0.000000, 0.000000, 0.000000, NaN, 0.641000, 1.124000, 1.095000, 0.651000, 0.812000, NaN, 0.150600, 0.145000, 0.129600, 0.126200, 0.147200, NaN, 0.237800, 0.210200, 0.206800, 0.237800, 0.210900, NaN, 0.209200, 0.802800, 1.324600, 0.365800, 0.536300, NaN, 0.119400, 0.143100, 0.118200, 0.141600, 0.140900, NaN, NaN, 1.257700, 0.844000, 0.241200, 0.421600, NaN, 0.109600, 0.179400, 0.116200, 0.144000, 0.257600, -0.261900, 0.373800, 0.342000, 1.386900, 0.446100, 0.534800, 0.243900, 0.229200, 0.131600, 2.036000e-01, 0.148200, 0.141800, 
S046, 31.293321, 13.757198, 14.715647, 6.775000, -2.225000, 7.150000, 7.400000, 2.000000, 0.000000, 0.000000, 0.000000, NaN, 0.641000, 1.124000, 1.095000, 0.651000, 0.812000, NaN, 0.150600, 0.145000, 0.129600, 0.126200, 0.147200, NaN, 0.237800, 0.210200, 0.206800, 0.237800, 0.210900, NaN, 0.209200, 0.802800, 1.324600, 0.365800, 0.536300, NaN, 0.119400, 0.143100, 0.118200, 0.141600, 0.140900, NaN, NaN, 1.257700, 0.844000, 0.241200, 0.421600, NaN, 0.109600, 0.179400, 0.116200, 0.144000, 0.257600, -0.261900, 0.373800, 0.342000, 1.386900, 0.446100, 0.534800, 0.243900, 0.229200, 0.131600, 2.036000e-01, 0.148200, 0.141800, 
S046, 28.627275, 13.757198, 14.715647, 6.775000, -2.225000, 7.150000, 7.400000, 3.000000, 0.000000, 0.000000, 0.000000, NaN, 0.641000, 1.124000, 1.095000, 0.651000, 0.812000, NaN, 0.150600, 0.145000, 0.129600, 0.126200, 0.147200, NaN, 0.237800, 0.210200, 0.206800, 0.237800, 0.210900, NaN, 0.209200, 0.802800, 1.324600, 0.365800, 0.536300, NaN, 0.119400, 0.143100, 0.118200, 0.141600, 0.140900, NaN, NaN, 1.257700, 0.844000, 0.241200, 0.421600, NaN, 0.109600, 0.179400, 0.116200, 0.144000, 0.257600, -0.261900, 0.373800, 0.342000, 1.386900, 0.446100, 0.534800, 0.243900, 0.229200, 0.131600, 2.036000e-01, 0.148200, 0.141800, 
S046, 31.053364, 13.757198, 14.715647, 6.775000, -2.225000, 7.150000, 7.400000, 4.000000, 0.000000, 0.000000, 0.000000, NaN, 0.641000, 1.124000, 1.095000, 0.651000, 0.812000, NaN, 0.150600, 0.145000, 0.129600, 0.126200, 0.147200, NaN, 0.237800, 0.210200, 0.206800, 0.237800, 0.210900, NaN, 0.209200, 0.802800, 1.324600, 0.365800, 0.536300, NaN, 0.119400, 0.143100, 0.118200, 0.141600, 0.140900, NaN, NaN, 1.257700, 0.844000, 0.241200, 0.421600, NaN, 0.109600, 0.179400, 0.116200, 0.144000, 0.257600, -0.261900, 0.373800, 0.342000, 1.386900, 0.446100, 0.534800, 0.243900, 0.229200, 0.131600, 2.036000e-01, 0.148200, 0.141800, 
S046, 21.138097, 13.757198, 14.715647, 6.775000, -2.225000, 7.150000, 7.400000, 5.000000, 0.000000, 0.000000, 0.000000, NaN, 0.641000, 1.124000, 1.095000, 0.651000, 0.812000, NaN, 0.150600, 0.145000, 0.129600, 0.126200, 0.147200, NaN, 0.237800, 0.210200, 0.206800, 0.237800, 0.210900, NaN, 0.209200, 0.802800, 1.324600, 0.365800, 0.536300, NaN, 0.119400, 0.143100, 0.118200, 0.141600, 0.140900, NaN, NaN, 1.257700, 0.844000, 0.241200, 0.421600, NaN, 0.109600, 0.179400, 0.116200, 0.144000, 0.257600, -0.261900, 0.373800, 0.342000, 1.386900, 0.446100, 0.534800, 0.243900, 0.229200, 0.131600, 2.036000e-01, 0.148200, 0.141800, 
S046, 26.444386, 13.757198, 14.715647, 6.775000, -2.225000, 7.150000, 7.400000, 6.000000, 0.000000, 0.000000, 0.000000, NaN, 0.641000, 1.124000, 1.095000, 0.651000, 0.812000, NaN, 0.150600, 0.145000, 0.129600, 0.126200, 0.147200, NaN, 0.237800, 0.210200, 0.206800, 0.237800, 0.210900, NaN, 0.209200, 0.802800, 1.324600, 0.365800, 0.536300, NaN, 0.119400, 0.143100, 0.118200, 0.141600, 0.140900, NaN, NaN, 1.257700, 0.844000, 0.241200, 0.421600, NaN, 0.109600, 0.179400, 0.116200, 0.144000, 0.257600, -0.261900, 0.373800, 0.342000, 1.386900, 0.446100, 0.534800, 0.243900, 0.229200, 0.131600, 2.036000e-01, 0.148200, 0.141800, 
S046, 22.345426, 13.757198, 14.715647, 6.775000, -2.225000, 7.150000, 7.400000, 7.000000, 0.000000, 0.000000, 0.000000, NaN, 0.641000, 1.124000, 1.095000, 0.651000, 0.812000, NaN, 0.150600, 0.145000, 0.129600, 0.126200, 0.147200, NaN, 0.237800, 0.210200, 0.206800, 0.237800, 0.210900, NaN, 0.209200, 0.802800, 1.324600, 0.365800, 0.536300, NaN, 0.119400, 0.143100, 0.118200, 0.141600, 0.140900, NaN, NaN, 1.257700, 0.844000, 0.241200, 0.421600, NaN, 0.109600, 0.179400, 0.116200, 0.144000, 0.257600, -0.261900, 0.373800, 0.342000, 1.386900, 0.446100, 0.534800, 0.243900, 0.229200, 0.131600, 2.036000e-01, 0.148200, 0.141800, 
S046, 23.521825, 13.757198, 14.715647, 6.775000, -2.225000, 7.150000, 7.400000, 8.000000, 0.000000, 0.000000, 0.000000, NaN, 0.641000, 1.124000, 1.095000, 0.651000, 0.812000, NaN, 0.150600, 0.145000, 0.129600, 0.126200, 0.147200, NaN, 0.237800, 0.210200, 0.206800, 0.237800, 0.210900, NaN, 0.209200, 0.802800, 1.324600, 0.365800, 0.536300, NaN, 0.119400, 0.143100, 0.118200, 0.141600, 0.140900, NaN, NaN, 1.257700, 0.844000, 0.241200, 0.421600, NaN, 0.109600, 0.179400, 0.116200, 0.144000, 0.257600, -0.261900, 0.373800, 0.342000, 1.386900, 0.446100, 0.534800, 0.243900, 0.229200, 0.131600, 2.036000e-01, 0.148200, 0.141800, 

